news_headline,news_article,news_category
Novak Djokovic gifts racket to little girl after 6th Wimbledon win; video viral,"Wimbledon Instagram page has shared a video of world number one tennis player Novak Djokovic giving his winning racket to a young fan holding a handmade placard, after clinching his sixth Wimbledon title on Sunday. The now-viral video was captioned, ""Wholesome"" and many fans commented on it, praising Djokovic's gesture. ""The best on and off the court,"" commented one user.",sports
McGregor threatens to kill Poirier and his wife in their sleep after losing UFC fight,"A video has surfaced online showing Conor McGregor making gun gestures and threatening to kill Dustin Poirier and his wife in their sleep following his defeat in UFC 264. ""In your sleep you're getting it, in your sleep you're dead, you and your Mrs, it ain’t over,"" McGregor can be heard saying. McGregor broke his leg during the fight.",sports
"Bonucci drinks Coke, beer at press event after Euro win, says 'I'll drink everything'","Italy defender Leonardo Bonucci, who scored for Italy in the regulation time in their Euro 2020 final win against England, drank beer and Coca-Cola at the post-match press conference. ""I will drink everything,"" he was heard saying. Earlier in the tournament, several players including Portugal captain Cristiano Ronaldo removed Coca-Cola bottles placed in front of them at press conferences.",sports
Former WWE wrestler 'Mr Wonderful' Paul Orndorff passes away aged 71,"Former WWE wrestler Paul Orndorff, known as Mr Wonderful, passed away at the age of 71. Orndorff joined WWE in 1983 and was given the 'Mr Wonderful' nickname by his then-manager Roddy Piper. The WWE Hall of Famer had competed alongside Piper to face Hulk Hogan and Mr T in the main event of the first-ever WrestleMania. ",sports
"Muralitharan toughest batsman I've bowled to, he once asked me to not kill him: Akhtar","Ex-Pakistan pacer Shoaib Akhtar said ex-Sri Lanka off-spinner Muttiah Muralitharan was the toughest batsman he has ever bowled to. ""I'm not even kidding...He once asked me to not kill him and said...he'll die if I hit him with a bouncer,"" Akhtar added. Akhtar further said when he pitched the ball up, Muralitharan slashed him and said it was by mistake.",sports
"1 dead, 15 injured during celebrations of Italy's win in Euro 2020","One person was killed and 15 others were left injured during the celebrations in Italy after the Italian soccer team won the Euro 2020. A 22-year-old man died in a car crash in Caltagirone as he was rushing to the town centre to join victory festivities, the Italian Police said. In Milan city, 15 people were hurt in post-match partying.",sports
Who are the top 5 run-scorers in T20 cricket?,"West Indies' Chris Gayle became the first-ever batsman in T20 cricket history to reach 14,000 runs. The second highest run-scorer in T20 cricket is Gayle's compatriot Kieron Pollard, who has scored 3,202 fewer runs than Gayle. Veteran Pakistan all-rounder Shoaib Malik is third on the list with 10,741 runs. Australia's David Warner and India's Virat Kohli complete the top five.",sports
Domestic abuse in UK increases by 38% after England lose football game: Report,"Instances of domestic abuse in UK increase by 26% when the England national football team play and rise by 38% if they lose, according to data shared by UK's National Centre for Domestic Violence (NCDV). ""Not everyone is looking forward to the match tonight,"" tweeted the NCDV ahead of Euro 2020 final in which Italy defeated England 3-2 on penalties. ",sports
"Shirtless pitch invader interrupts Euro final, turns out to be reality TV show singer","A video of a shirtless pitch invader interrupting Euro 2020 final in 88th minute has gone viral. The fan jumped over the advertising hoardings with an England shirt in his hand and sprinted onto the pitch. He also knocked over a steward on his way. He was later identified as singer Adam Harison, who participated in 'Little Mix: The Search'.",sports
"Gayle becomes 1st batsman to score 14,000 T20 runs, says 'Respect the Universe Boss'","West Indies' 41-year-old all-rounder Chris Gayle has become the first batsman to reach 14,000 runs in T20 cricket history. Gayle achieved the feat during his 38-ball 67-run knock against Australia in the third T20I. Gayle said, ""You guys should be happy to still see Chris Gayle on the field...just respect the Universe Boss and let him play...and have some fun.""",sports
England penalty decisions in Euro final totally rests with me: Southgate,"England head coach Gareth Southgate has said the team's failure in the penalty shootouts against Italy in the Euro 2020 final ""totally rests"" with him. He added that he was the one who decided who was going to take the kicks on the basis of training. ""Nobody is on their own,"" he added. England lost the penalties 2-3.  ",sports
"My complete focus is on Tokyo, I'll play as this is my last Games: Sharath","Olympic-bound Indian table tennis player Sharath Kamal said his complete focus is on Tokyo Games, beginning July 23. ""I'll play as this is my last [Olympics], will try...give it everything,"" he added. ""Mixed doubles is where we [India] have a fair chance to get a medal,"" he further said. Sharath has qualified in both singles and mixed doubles category.",sports
Arsenal condemn racial abuse of 19-yr-old Saka after England's Euro loss,"Arsenal Football Club on Monday condemned the racial abuse being faced by their midfielder 19-year-old Bukayo Saka after he missed the fifth and deciding penalty for England in Euro 2020 final against Italy. ""The social media platforms and authorities must act to ensure this disgusting abuse to which our players are subjected on a daily basis stops now,"" it added.
",sports
I'll have to think about it: Djokovic on Olympics participation,"World number one Novak Djokovic said on Sunday he was ""50-50"" about competing at the upcoming Tokyo Olympics following the organisers' decision to ban fans from attending. ""I'll have to think about it,"" he added. The restrictions on the number of people Djokovic can take to the Games is also one of the reasons for a delay in his decision.",sports
Why online abuse of players who gave us so much joy: Pietersen,"Ex-England captain Kevin Pietersen has condemned the online racial abuse of black England players Bukayo Saka, Marcus Rashford and Jadon Sancho after they missed penalties as England lost Euro 2020 final to Italy. ""The walk I took...to get our car home last night was scary, absolutely horrendous. The abuse of the players who gave us so much joy?"" he tweeted.",sports
I need time to go away and reflect on Euro loss: Southgate,"England manager Gareth Southgate has said he needs time to go away and reflect on the European Championship final defeat against Italy. On being asked about extending his contract, Southgate said, ""To lead your country in these tournaments takes its toll...I [want]...to take the team to Qatar [for FIFA WC]."" Southgate is under contract until after next year's World Cup.",sports
"Laxman, Irfan pick their Team India playing XI for SL ODIs","Ex-India batsman VVS Laxman has named his India playing XI for the Sri Lanka ODIs. He picked Dhawan and Prithvi as openers, followed by Suryakumar Yadav, Sanju Samson and Manish Pandey. Laxman named Hardik Pandya, Krunal Pandya, Bhuvneshwar Kumar, Deepak Chahar along with spinners Kuldeep and Chahal. Irfan Pathan went with Nitish Rana in place of Krunal in his team.",sports
US' Krawczyk wins 2nd successive Grand Slam mixed doubles title,"The British-American pair of Neal Skupski and Desirae Krawczyk won the mixed doubles title at Wimbledon on Sunday after defeating all-British pair of Joe Salisbury and Harriet Dart 6-2, 7-6(7-1). It was Krawczyk's second successive Grand Slam title after she and Salisbury won the French Open in June last month. ""I just can't believe it. I'm just shocked,"" said Krawczyk.
",sports
India Women beat England Women to level 3-match T20I series 1-1,India Women defeated England Women in second T20I by eight runs to level the series 1-1. Opener Shafali Verma and captain Harmanpreet Kaur scored 48 and 31 runs respectively as India put up a total of 148/4. India effected four run-outs and Poonam Yadav took two wickets as England were restricted to 140/8. Third T20I will be played on Wednesday.,sports
"Last night hurts, it'll hurt for long, but it's not the end: England captain Kane","England captain Harry Kane has said that losing the final of Euro 2020 to Italy will ""hurt for a long time but it's not the end"". ""Last night hurts...but we've come so far and broken down so many barriers...we win together, lose together and will regroup together for the World Cup,"" he tweeted. Italy defeated England 3-2 after penalty shootout.",sports
